LRU Name,Project,Division / Group,System,Part Number,Serial No,Received Data,Type of Test,Test Rig,Date of PI,Results & Remarks,Date of Clearance
Starter Motor Assembly,ALH,Hydraulics,HYD,EPGS290,429 / 1610000333412024,Unit received for inspection,Acceptance Test,IJT EPGS,02-09-2025,NOT OK,19-09-2025
5RW GEN,LCH,Avionics Group,ELE,EPGS734,430 / 1610000334412024,Unit received for inspection,Endurance Test,IJT EPGS,22-10-2024,NOT OK,06-11-2024
Starter Motor Assembly,TEJAS,ELE Group,GEN,STM768,431 / 1610000335412024,Unit received for inspection,Endurance Test,Avionics Rig,28-01-2025,OK,
"5RW GEN, DCMB GPRU",AMCA,A/C Division,PNEU,GCCAIA914,432 / 1610000336412024,Unit received for inspection,PI Starter,Hydraulic Test Bench,15-05-2025,NOT OK,07-06-2025
Starter Motor Assembly,MIG-21 Upgrade,Hydraulics,ELE,AVN891,433 / 1610000337412024,Unit received for inspection,Acceptance Test,LCA EPGS,21-06-2024,OK,01-07-2024
5RW GEN,LCH,ELE Group,GEN,STM942,434 / 1610000338412024,Unit received for inspection,Acceptance Test,IJT EPGS,04-03-2026,OK,10-03-2026
"5RW GEN, DCMB GPRU",AMCA,Quality Assurance,ELE,AVN869,435 / 1610000339412024,Unit received for inspection,Endurance Test,AMCA Rig 1,14-04-2024,NOT OK,
Hydraulic Pump Unit,MIG-21 Upgrade,ELE Group,PNEU,22460027,436 / 1610000340412024,Unit received for inspection,Calibration,Hydraulic Test Bench,30-03-2024,OK,01-04-2024
"5RW GEN, DCMB GPRU",LCH,TD/Sagar,HYD,22460079,437 / 1610000341412024,Unit received for inspection,PI,Hydraulic Test Bench,14-03-2025,Under Review,
Hydraulic Pump Unit,AMCA,Avionics Group,AVIONICS,22460042,438 / 1610000342412024,Unit received for inspection,Functional Test,Engine Test Cell,29-06-2025,OK,08-07-2025
Starter Motor Assembly,LCA,Avionics Group,HYD,GCCAIA238,439 / 1610000343412024,Unit received for inspection,Calibration,Engine Test Cell,26-11-2025,Pending,
Hydraulic Pump Unit,TEJAS,Engine Division,HYD,22460098,440 / 1610000344412024,Unit received for inspection,Acceptance Test,Avionics Rig,12-09-2024,OK,18-09-2024
5RW GEN,TEJAS,Hydraulics,PNEU,GCCAIA748,441 / 1610000345412024,Unit received for inspection,Calibration,AMCA Rig 1,04-10-2025,OK,12-10-2025
Hydraulic Pump Unit,LCA,ELE Group,GEN,GCCAIA989,442 / 1610000346412024,Unit received for inspection,Calibration,Avionics Rig,14-05-2025,NOT OK,
EPGS Controller,TEJAS,TD/Sagar,GEN,GCCAIA914,443 / 1610000347412024,Unit received for inspection,PI Starter,TEJAS Rig A,01-01-2025,Under Review,
"5RW GEN, DCMB GPRU",MIG-21 Upgrade,Quality Assurance,GEN,STM691,444 / 1610000348412024,Unit received for inspection,Functional Test,Avionics Rig,26-11-2024,OK,02-12-2024
5RW GEN,LCH,TD/Sagar,GEN,EPGS116,445 / 1610000349412024,Unit received for inspection,Endurance Test,LCA EPGS,17-02-2024,OK,01-03-2024
DCMB GPRU,IJT,Quality Assurance,PNEU,22460084,446 / 1610000350412024,Unit received for inspection,PI,Avionics Rig,26-07-2024,NOT OK,
5RW GEN,TEJAS,ELE Group,PNEU,AVN269,447 / 1610000351412024,Unit received for inspection,Calibration,Avionics Rig,13-09-2024,OK,24-09-2024
"5RW GEN, DCMB GPRU",TEJAS,A/C Division,HYD,GCCAIA101,448 / 1610000352412024,Unit received for inspection,Acceptance Test,IJT EPGS,15-03-2025,OK,27-03-2025
5RW GEN,ALH,Avionics Group,ELE,EPGS109,449 / 1610000353412024,Unit received for inspection,Endurance Test,Avionics Rig,27-11-2025,Pending,
5RW GEN,LCA,Avionics Group,PNEU,GCCAIA848,450 / 1610000354412024,Unit received for inspection,Functional Test,IJT EPGS,04-05-2025,OK,11-05-2025
Hydraulic Pump Unit,IJT,A/C Division,AVIONICS,22460083,451 / 1610000355412024,Unit received for inspection,Acceptance Test,LCA EPGS,03-03-2026,NOT OK,
DCMB GPRU,ALH,TD/Sagar,HYD,22460057,452 / 1610000356412024,Unit received for inspection,Endurance Test,Hydraulic Test Bench,27-10-2025,Pending,
5RW GEN,IJT,Quality Assurance,ELE,22460012,453 / 1610000357412024,Unit received for inspection,Acceptance Test,Avionics Rig,29-03-2025,Under Review,
"5RW GEN, DCMB GPRU",AMCA,ELE Group,ELE,HDP0018,454 / 1610000358412024,Unit received for inspection,PI Starter,Hydraulic Test Bench,25-12-2024,NOT OK,
DCMB GPRU,LCH,ELE Group,ELE,AVN722,455 / 1610000359412024,Unit received for inspection,Calibration,AMCA Rig 1,06-09-2025,Pending,
DCMB GPRU,ALH,A/C Division,HYD,AVN501,456 / 1610000360412024,Unit received for inspection,Endurance Test,TEJAS Rig A,14-06-2025,OK,18-06-2025
Hydraulic Pump Unit 22,LCA,Engine Division,ELE,22460960,340 / 1610000034002192024,Unit received for inspection,Environmental Test,IJT EPGS,07-10-2024,OK,12-10-2024
"5RW GEN, DCMB GPRU 222",IJT,Engine Division,PNEU,HDP146,450 / 1610000061114512024,Unit received for inspection,Type Test,TEJAS Rig A,09-11-2025,Pending,22-11-2025
